customer_id,customer_name,datetimestamp,beem_height,light_visibility,speed,blur,is_fallback
157c177d-ec1a-4b04-a717-ab5cc1a7f842,Angela Mathis,2024-02-16 14:13:03.669133,2.04,True,10.46,False,False
fbb2cca6-59d6-4cb2-b3e9-a0367bd0eb42,Jennifer Oliver,2024-02-16 14:13:03.669325,2.81,True,4.04,False,False
32827577-6ab0-4c78-873d-6ba1a0d89451,Kimberly Acosta,2024-02-16 14:13:03.669624,2.77,False,19.72,True,False
53d5de6c-ee0a-43c8-8726-db04a2b00c78,Jake Sullivan,2024-02-16 14:13:03.669801,1.44,True,16.03,True,False
82b71611-eb81-42ae-aa8c-7b958c9588bb,Shawn Rose,2024-02-16 14:13:03.669951,2.99,True,9.59,True,False
e5da2ef5-1bed-45ef-8517-3e69cef0f4bf,Katherine Bentley,2024-02-16 14:13:03.670099,1.03,True,4.52,True,False
a258a37d-b09d-4143-af90-623686005263,Alan Martin,2024-02-16 14:13:03.670243,2.13,False,10.16,False,False
a2b417da-fc23-451e-9044-6764a2b925ec,Adam Williams,2024-02-16 14:13:03.670384,1.76,True,2.59,False,False
2f36f63c-ddad-4a1d-bd55-2f10485e9879,Tamara Michael,2024-02-16 14:13:03.670529,4.98,True,16.83,True,True
6cacfb3d-4df4-4e72-b1b5-bc78c8e93947,Michael Schaefer,2024-02-16 14:13:03.670679,4.87,True,4.45,False,False
e0f18b69-bca2-4319-b8f6-c37de6dcddb2,Greg Johnson,2024-02-16 14:13:03.670822,4.95,True,11.05,True,True
9c379c7b-5fa6-498d-96f2-49ef843a458e,Leslie Forbes,2024-02-16 14:13:03.670967,4.51,True,18.29,True,True
420b9cfe-8477-4d28-8338-0f9115d41e31,Jennifer Johnson MD,2024-02-16 14:13:03.671122,1.76,True,14.35,True,False
d7aeac75-4157-4e55-bd14-8e54457ed918,Erin Randolph,2024-02-16 14:13:03.671266,2.96,False,19.68,False,False
86e0acc4-8adc-4cd9-9e68-3cea4f28e0a8,Sharon Carroll,2024-02-16 14:13:03.671411,3.05,False,15.96,True,False
0e0901d7-75eb-4343-908a-6519f40551a0,Andrew Montgomery,2024-02-16 14:13:03.671618,1.81,True,18.6,False,False
4c03364e-7c7f-4bc3-af24-1378af77d1d8,Lisa Jackson,2024-02-16 14:13:03.671805,2.52,True,17.52,False,False
92fcaaf5-51e6-475a-ba8b-8f3e94f2e401,Teresa Lewis,2024-02-16 14:13:03.671963,4.72,True,17.46,True,True
ca1c10ba-4e80-4286-8e53-9aa63a462259,Billy Oconnell,2024-02-16 14:13:03.672117,2.33,False,18.57,False,False
5cd1bf24-c8d2-4db7-a468-0b8a03801d55,Tricia Phillips,2024-02-16 14:13:03.672273,1.58,True,18.02,False,False
88bfbf98-1d0b-41f8-825a-be60d426641f,Jeremy Dickson,2024-02-16 14:13:03.672426,3.28,False,10.56,True,False
b4077ec7-658a-4d04-aba4-5114c6da5c8d,Wendy Shields,2024-02-16 14:13:03.672580,3.79,False,5.66,False,False
17161614-f9a4-4dc1-91ed-8aa0a58f00e3,Michael Molina,2024-02-16 14:13:03.672732,1.39,True,15.86,True,False
e04d2a6a-6213-4052-a4ab-b681f05d68c8,Johnny Miller,2024-02-16 14:13:03.672880,4.54,True,8.61,False,False
652de4c2-56ca-43b2-bd4d-c583cd71d926,Jennifer Santiago,2024-02-16 14:13:03.673032,1.11,False,7.12,False,False
8098659c-924d-4c98-9600-5394209b814e,Tiffany Montgomery DDS,2024-02-16 14:13:03.673194,4.21,True,6.42,False,False
a4d816aa-4820-4af1-b1f9-5d431b27c927,Katherine Garcia,2024-02-16 14:13:03.673342,1.73,True,10.43,True,False
